File Version,BWSpec4.11_1
163,807.30,12386.94,352.57,0.0000,65535.0000,3761.0000,104.3351,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
164,807.45,12384.63,354.87,0.0000,65535.0000,4185.0000,524.8516,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
165,807.60,12382.33,357.17,0.0000,65535.0000,3636.0000,-27.5061,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
166,807.75,12380.03,359.47,0.0000,65535.0000,3857.0000,190.2610,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
167,807.90,12377.73,361.77,0.0000,65535.0000,3781.0000,111.1522,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
168,808.05,12375.43,364.07,0.0000,65535.0000,3998.0000,325.1668,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
169,808.20,12373.13,366.37,0.0000,65535.0000,3926.0000,250.3039,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
170,808.35,12370.83,368.67,0.0000,65535.0000,4054.0000,375.5629,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
171,808.50,12368.54,370.97,0.0000,65535.0000,4158.0000,476.9430,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
172,808.65,12366.24,373.26,0.0000,65535.0000,4092.0000,408.4434,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
173,808.80,12363.95,375.56,0.0000,65535.0000,4098.0000,412.0634,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
174,808.95,12361.65,377.85,0.0000,65535.0000,4031.0000,342.8022,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
175,809.10,12359.36,380.14,0.0000,65535.0000,3954.0000,263.6591,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
176,809.25,12357.07,382.43,0.0000,65535.0000,3926.0000,233.6332,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
177,809.40,12354.78,384.72,0.0000,65535.0000,3841.0000,146.7240,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
